ligne;lettre_station;station;facilite_acces_code;facilite_acces;nombre_facilite_acces_station
;C;Cadet;white;comportant uniquement des escaliers et peu profonde;1
;C;Cambronne;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Campo Formio;white;comportant uniquement des escaliers et peu profonde;1
;C;Canal Saint-Denis;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Cardinal Lemoine;white;comportant uniquement des escaliers et peu profonde;1
;C;Carrefour Pleyel;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Censier Daubenton;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Champ de Mars - Tour Eiffel;white;comportant uniquement des escaliers et peu profonde;1
;C;Champs-Élysées - Clemenceau;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Chardon Lagache;white;comportant uniquement des escaliers et peu profonde;1
;C;Charenton - Écoles;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Charlebourg;green;très facile d'accès (ascenseur ou plain-pied);1
METRO 6;C;Charles-de-Gaulle - Étoile;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;4
METRO 1;C;Charles-de-Gaulle - Étoile;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;4
METRO 2;C;Charles-de-Gaulle - Étoile;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;4
RER A;C;Charles-de-Gaulle - Étoile;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;4
;C;Charles Michels;white;comportant uniquement des escaliers et peu profonde;1
;C;Charonne;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Château d'Eau;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Château de Vincennes;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Châteaudun - Barbès;green;très facile d'accès (ascenseur ou plain-pied);1
;G;Gare de l'Est;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Château-Rouge;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
METRO 14;C;Châtelet;green;très facile d'accès (ascenseur ou plain-pied);4
METRO 7;C;Châtelet;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;4
METRO 4;C;Châtelet;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;4
METRO 1;C;Châtelet;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;4
RER A;C;Châtelet - Les Halles;green;très facile d'accès (ascenseur ou plain-pied);3
RER B;C;Châtelet - Les Halles;green;très facile d'accès (ascenseur ou plain-pied);3
RER D;C;Châtelet - Les Halles;green;très facile d'accès (ascenseur ou plain-pied);3
METRO 13;C;Châtillon - Montrouge;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
METRO 15;C;Châtillon - Montrouge;green;très facile d'accès (ascenseur ou plain-pied);3
TRAM 6;C;Châtillon - Montrouge;green;très facile d'accès (ascenseur ou plain-pied);3
METRO 7;C;Chaussée d'Antin - La Fayette;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
METRO 9;C;Chaussée d'Antin - La Fayette;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
;C;Chemin des Reniers;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Chemin Vert;white;comportant uniquement des escaliers et peu profonde;1
;C;Chevaleret;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Cimetière de Saint-Denis;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Cimetière Parisien d'Ivry;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Cité;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
RER B;C;Cité Universitaire;green;très facile d'accès (ascenseur ou plain-pied);2
TRAM 3a;C;Cité Universitaire;white;comportant uniquement des escaliers et peu profonde;2
TRAIN N;C;Clamart;white;comportant uniquement des escaliers et peu profonde;2
METRO 15;C;Clamart;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
;C;Clichy - Levallois;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Cluny - La Sorbonne;white;comportant uniquement des escaliers et peu profonde;1
;C;Colette Besson;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Colombes;green;très facile d'accès (ascenseur ou plain-pied);1
